tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
9.80902;-23.7833;131.375;0.246603;-0.181012;-3.13582
9.62747;-23.9012;130.964;0.264057;-0.106861;-3.12991
9.47724;-24.005;131.078;0.257563;-0.143762;-3.13421
9.22995;-24.0987;131.082;0.258967;-0.0985066;-3.12856
9.06086;-24.2087;131.645;0.220375;-0.0758275;-3.13491
8.435;-23.9156;130.356;0.271602;-0.167222;-3.13802
7.78163;-23.8587;130.782;0.24265;-0.17412;-3.13668
7.12872;-23.717;130.934;0.240362;-0.166218;-3.14234
6.15059;-23.4292;130.956;0.205576;0.060793;-3.12337
4.66738;-23.1918;130.43;0.172419;-0.0980263;-3.13593
3.52705;-22.8455;127.797;0.263992;-0.0249133;-3.13171
2.30917;-22.5199;126.732;0.333037;-0.0974028;-3.12985
0.805665;-22.4913;128.101;0.196988;-0.105611;-3.13113
-0.656931;-21.7532;125.083;0.365892;-0.0796774;-3.12876
-2.23973;-21.3673;123.58;0.353116;0.0841019;-3.12025
-3.92751;-20.8678;124.929;0.221488;0.0303579;-3.13641
-5.60571;-20.3786;124.724;0.249875;-0.0302781;-3.13629
-7.65486;-19.9445;124.711;0.126726;-0.0250354;-3.14104
-9.55712;-19.5604;124.439;0.1918;-0.108197;-3.14285
-11.6216;-19.0796;124.54;0.135391;-0.0859145;-3.1442
-13.6498;-18.2982;121.675;0.314651;0.0235182;-3.13081
-16.0019;-17.8074;122.85;0.222079;-0.0217484;-3.13647
-17.9703;-17.1512;121.331;0.268099;0.0864063;-3.12259
-20.2913;-16.4827;122.012;0.252917;-0.137236;-3.13849
-22.3743;-15.7446;121.698;0.276971;-0.0474295;-3.1233
-23.9736;-15.2618;120.798;0.338364;-0.0468486;-3.12945
-25.6843;-14.7636;120.522;0.248913;0.102635;-3.13025
-27.3329;-14.4558;121.062;0.307122;-0.130186;-3.13343
-28.3239;-13.8827;118.126;0.468829;0.13507;-3.11329
-29.9888;-13.665;119.367;0.427737;0.0226985;-3.12114
-31.4772;-13.3621;120.874;0.372987;-0.0180155;-3.12465
-32.6023;-12.8794;121.032;0.329843;0.0596681;-3.12297
-34.1769;-12.6514;123.987;0.155103;-0.287846;-3.12159
-34.565;-12.7392;124.266;-0.192314;-0.108141;3.13325
-34.6275;-12.5759;121.463;-0.365293;-0.247305;3.11097
-34.718;-12.3138;121.3;-0.24855;-0.468919;3.1095
-34.6329;-11.9154;121.309;0.486349;-0.0773899;-3.10886
-34.4384;-11.3885;121.432;-0.22876;-0.398681;3.11637
-34.2442;-10.5591;121.41;0.457554;-0.15068;-3.11551
-34.0881;-9.44363;122.148;0.385169;-0.0344117;-3.12626
-33.8526;-8.35942;123.216;0.333723;-0.257794;-3.1184
-33.1456;-7.31804;122.525;0.372622;-0.251389;-3.12366
-32.6028;-6.37727;123.298;0.219874;-0.340927;-3.12291
-31.7236;-5.76756;122.79;0.321365;-0.429148;-3.11692
-31.37;-5.07643;123.112;0.311411;-0.367278;-3.12854
-30.1993;-3.87535;122.801;0.297214;-0.294865;-3.11895
-29.539;-3.58474;121.687;0.330292;-0.30291;-3.122
-29.3636;-2.96293;121.729;0.270543;-0.393369;-3.11843
-28.6659;-2.67681;118.119;0.419893;-0.264796;-3.11151
-28.7007;-2.07983;120.659;0.199889;-0.291673;-3.13344
-28.5334;-1.61078;118.93;0.317982;-0.289981;-3.11928
-28.4094;-1.426;118.553;0.272556;-0.273951;-3.12733
-28.5928;-1.54935;120.331;0.160773;-0.326235;-3.13289
-28.8149;-1.80714;121.502;-0.0599466;-0.161409;-3.13567
-28.5428;-2.63759;121.644;0.0958403;-0.151903;-3.13895
-28.5777;-3.28207;124.065;0.00849346;-0.274038;-3.12492
-28.188;-4.56366;123.745;0.183829;-0.121321;-3.13882
-27.8353;-5.7838;125.199;0.174861;-0.103639;-3.14395
-27.8112;-7.41107;131.269;0.189775;-0.249695;-3.13476
-27.7005;-8.22097;134.599;0.192316;-0.197692;-3.13161
-27.1918;-8.82848;135.92;0.20678;-0.0247027;-3.13348
-27.4458;-9.30376;140.256;0.0515772;0.0767545;-3.13303
-27.2988;-10.0516;144.485;0.18869;-0.166132;-3.15015
-27.1893;-10.4756;147.509;0.186115;-0.0907629;-3.13102
-27.1517;-11.4119;151.124;0.343747;-0.071741;-3.12166
-27.6399;-12.3993;157.368;0.205056;-0.211943;-3.13504
-28.0291;-13.3802;161.376;0.195006;-0.0266522;-3.13103
-27.9897;-14.5994;161.765;0.375169;-0.0623376;-3.12087
-28.6215;-15.7457;166.617;0.371186;-0.345526;-3.11255
-29.3588;-16.5032;169.64;0.317755;-0.0214554;-3.13027
-30.0197;-17.0719;171.984;0.357585;-0.108846;-3.12145
-30.5139;-17.0565;174.695;-0.352766;-0.201509;3.11629
-31.2679;-16.8892;175.69;-0.358808;-0.283255;3.11989
-31.4509;-16.1573;174.803;-0.557985;-0.396507;3.10464
-31.6744;-15.5;176.22;-0.481251;-0.536901;3.08503
-32.3964;-14.6832;179.415;-0.506848;-0.245751;3.09966
-32.5096;-14.1541;180.459;-0.618152;-0.170897;3.08349
-33.3015;-13.4762;183.677;-0.508205;-0.0876889;3.08909
-33.4269;-12.3937;181.703;-0.705219;-0.328785;3.07397
-34.5097;-11.9637;186.479;-0.407061;-0.433809;3.12243
-34.7932;-11.472;186.726;-0.550007;-0.0233042;3.1046
-35.2742;-11.1397;188.909;-0.449691;-0.117871;3.11312
-35.2192;-11.0443;186.804;0.448082;-0.623375;-3.07064
-35.2644;-11.1463;186.015;0.449931;-0.734469;-3.05131
-35.0947;-11.457;185.124;0.441644;-0.723328;-3.05736
-34.8787;-11.7792;184.067;0.505823;-0.682763;-3.05658
-34.6606;-12.0417;182.942;0.585403;-0.510831;-3.05607
-34.6515;-12.6503;184.343;0.475289;-0.601301;-3.08066
-34.6362;-12.9393;182.969;0.489414;-0.322184;-3.09443
-34.5957;-13.2807;183.474;0.444867;-0.530929;-3.08795
-34.2984;-13.4549;180.965;0.505428;-0.611997;-3.06428
-33.993;-13.6244;178.074;0.605897;-0.413106;-3.067
-34.6151;-13.5482;183.313;0.319312;-0.62373;-3.0967
-34.7207;-13.7823;180.571;0.357537;-0.374621;-3.10681
-34.4181;-13.8575;178.104;0.455549;-0.504381;-3.08765
-34.4059;-14.0747;177.332;0.446287;-0.480429;-3.08976
-34.091;-14.3881;175.419;-0.655014;-0.152855;3.08802
-33.77;-14.7141;174.299;-0.63956;-0.194797;3.08966
-33.6786;-15.1698;174.998;-0.435508;-0.0991613;3.11453
-32.9771;-15.489;173.928;-0.433229;-0.40108;3.12137
-32.3976;-15.9537;174.322;-0.222653;-0.152731;3.12383
-31.1829;-15.9016;171.277;-0.474787;-0.315195;3.11605
-29.7692;-15.9583;171.073;-0.406934;-0.117109;3.11717
-28.0839;-15.8621;164.636;-0.679361;-0.204604;3.08024
-27.518;-15.856;167.393;-0.466281;-0.201485;3.11125
-26.278;-15.6242;166.287;-0.519951;-0.109497;3.09819
-25.4335;-15.9244;165.21;-0.458133;-0.174386;3.11474
-24.249;-16.38;164.967;-0.331244;-0.215512;3.11593
-23.4993;-17.0222;166.58;-0.31143;0.0321019;3.11176
-22.1232;-17.7781;163.492;-0.397161;-0.136055;3.10895
-20.9828;-18.8105;164.525;-0.309696;-0.205939;3.12281
-20.0341;-19.5488;165.228;-0.433406;-0.00823667;3.11294
-18.8101;-20.4213;161.068;-0.505399;-0.308697;3.09965
-18.2238;-21.4981;163.922;-0.296168;-0.29676;3.11534
-17.75;-21.9953;164.071;-0.442761;-0.186889;3.11739
-16.5869;-22.2614;161.299;-0.52299;-0.238137;3.0998
-16.1053;-22.7326;161.329;-0.325308;-0.33919;3.11829
-15.8293;-23.2315;162.186;-0.2795;-0.241392;3.12769
